1.00,3.00,1.00,0.00,7.25
2.00,1.00,1.00,0.00,71.28
3.00,3.00,0.00,0.00,7.93
4.00,1.00,1.00,0.00,53.10
5.00,3.00,0.00,0.00,8.05
6.00,3.00,0.00,0.00,8.46
7.00,1.00,0.00,0.00,51.86
8.00,3.00,3.00,1.00,21.08
9.00,3.00,0.00,2.00,11.13
10.00,2.00,1.00,0.00,30.07
11.00,3.00,1.00,1.00,16.70
12.00,1.00,0.00,0.00,26.55
13.00,3.00,0.00,0.00,8.05
14.00,3.00,1.00,5.00,31.28
15.00,3.00,0.00,0.00,7.85
16.00,2.00,0.00,0.00,16.00
17.00,3.00,4.00,1.00,29.13
18.00,2.00,0.00,0.00,13.00
19.00,3.00,1.00,0.00,18.00
20.00,3.00,0.00,0.00,7.23
21.00,2.00,0.00,0.00,26.00
22.00,2.00,0.00,0.00,13.00
23.00,3.00,0.00,0.00,8.03
24.00,1.00,0.00,0.00,35.50
25.00,3.00,3.00,1.00,21.08
26.00,3.00,1.00,5.00,31.39
27.00,3.00,0.00,0.00,7.23
28.00,1.00,3.00,2.00,263.00
29.00,3.00,0.00,0.00,7.88
30.00,3.00,0.00,0.00,7.90
31.00,1.00,0.00,0.00,27.72
32.00,1.00,1.00,0.00,146.52
33.00,3.00,0.00,0.00,7.75
34.00,2.00,0.00,0.00,10.50
35.00,1.00,1.00,0.00,82.17
36.00,1.00,1.00,0.00,52.00
37.00,3.00,0.00,0.00,7.23
38.00,3.00,0.00,0.00,8.05
39.00,3.00,2.00,0.00,18.00
40.00,3.00,1.00,0.00,11.24
41.00,3.00,1.00,0.00,9.48
42.00,2.00,1.00,0.00,21.00
43.00,3.00,0.00,0.00,7.90
44.00,2.00,1.00,2.00,41.58
45.00,3.00,0.00,0.00,7.88
46.00,3.00,0.00,0.00,8.05
47.00,3.00,1.00,0.00,15.50
48.00,3.00,0.00,0.00,7.75
49.00,3.00,2.00,0.00,21.68
50.00,3.00,1.00,0.00,17.80
51.00,3.00,4.00,1.00,39.69
52.00,3.00,0.00,0.00,7.80
53.00,1.00,1.00,0.00,76.73
54.00,2.00,1.00,0.00,26.00
55.00,1.00,0.00,1.00,61.98
56.00,1.00,0.00,0.00,35.50
57.00,2.00,0.00,0.00,10.50
58.00,3.00,0.00,0.00,7.23
59.00,2.00,1.00,2.00,27.75
60.00,3.00,5.00,2.00,46.90
61.00,3.00,0.00,0.00,7.23
62.00,1.00,0.00,0.00,80.00
63.00,1.00,1.00,0.00,83.48
64.00,3.00,3.00,2.00,27.90
65.00,1.00,0.00,0.00,27.72
66.00,3.00,1.00,1.00,15.25
67.00,2.00,0.00,0.00,10.50
68.00,3.00,0.00,0.00,8.16
69.00,3.00,4.00,2.00,7.93
70.00,3.00,2.00,0.00,8.66
71.00,2.00,0.00,0.00,10.50
72.00,3.00,5.00,2.00,46.90
73.00,2.00,0.00,0.00,73.50
74.00,3.00,1.00,0.00,14.45
75.00,3.00,0.00,0.00,56.50
76.00,3.00,0.00,0.00,7.65
77.00,3.00,0.00,0.00,7.90
78.00,3.00,0.00,0.00,8.05
79.00,2.00,0.00,2.00,29.00
80.00,3.00,0.00,0.00,12.48
81.00,3.00,0.00,0.00,9.00
82.00,3.00,0.00,0.00,9.50
83.00,3.00,0.00,0.00,7.79
84.00,1.00,0.00,0.00,47.10
85.00,2.00,0.00,0.00,10.50
86.00,3.00,3.00,0.00,15.85
87.00,3.00,1.00,3.00,34.38
88.00,3.00,0.00,0.00,8.05
89.00,1.00,3.00,2.00,263.00
90.00,3.00,0.00,0.00,8.05
91.00,3.00,0.00,0.00,8.05
92.00,3.00,0.00,0.00,7.85
93.00,1.00,1.00,0.00,61.18
94.00,3.00,1.00,2.00,20.58
95.00,3.00,0.00,0.00,7.25
96.00,3.00,0.00,0.00,8.05
97.00,1.00,0.00,0.00,34.65
98.00,1.00,0.00,1.00,63.36
99.00,2.00,0.00,1.00,23.00
100.00,2.00,1.00,0.00,26.00
101.00,3.00,0.00,0.00,7.90
